epoch,Training Loss,Valid. Loss,Learning Rate,Weight Decay,Drop out Rate,Pearson,Pearson Some,Kappa,Kappa Some,Pearson (Anger),Pearson some (Anger),Kappa (Anger),Kappa some (Anger),Pearson (Fear),Pearson some (Fear),Kappa (Fear),Kappa some (Fear),Pearson (Joy),Pearson some (Joy),Kappa (Joy),Kappa some (Joy),Pearson (Sadness),Pearson some (Sadness),Kappa (Sadness),Kappa some (Sadness),Training Time,Validation Time
5,0.564345203,1.6941822219999998,2e-05,0.9,0.2,0.473675292,0.37060918,0.446562375,0.335258726,0.492508011,0.286975466,0.46739942799999995,0.266898533,0.35667633200000004,0.176661032,0.301463448,0.16541208300000002,0.526929965,0.581036943,0.5122563139999999,0.503865142,0.5185868610000001,0.437763278,0.5051303079999999,0.404859145,00:03:56,00:04:17
1,1.250087421,1.261832101,2e-05,0.95,0.2,0.381511524,0.317383111,0.350637665,0.25772150899999996,0.43404384,0.257107245,0.409190028,0.219730635,0.329646201,0.23553802,0.279369787,0.20091129100000002,0.257508529,0.404552319,0.233098694,0.286879809,0.504847527,0.37233485899999996,0.480892152,0.3233643,00:03:56,00:04:17
2,1.031399125,1.286969491,2e-05,0.95,0.2,0.42225699299999997,0.33921945299999995,0.39160933700000006,0.277834333,0.554659645,0.31152846100000003,0.524194508,0.279508871,0.29271008600000004,0.23062412699999998,0.256475197,0.192590537,0.356869073,0.441709109,0.321596771,0.317906845,0.484789168,0.373016116,0.46417087,0.32133108,00:03:56,00:04:17
3,0.8112568440000001,1.391127566,2e-05,0.95,0.2,0.424111161,0.348347584,0.39886315,0.295730708,0.486372474,0.286680955,0.46623246,0.25532853899999997,0.308266441,0.24425502899999998,0.269024502,0.21035988600000002,0.44112792100000003,0.5072709879999999,0.41436016,0.40934827,0.46067780700000005,0.355183365,0.44583547799999995,0.307886139,00:03:56,00:04:17
4,0.625390243,1.605458262,2e-05,0.95,0.2,0.42802282399999997,0.335129059,0.398313286,0.29804015,0.46910226,0.26483197399999997,0.441027072,0.24597605,0.30597297100000004,0.17600342100000002,0.253852638,0.16427615199999998,0.46367230200000004,0.5283054189999999,0.44389365799999997,0.43957281,0.473343763,0.37137542100000004,0.454479776,0.342335589,00:03:56,00:04:17
5,0.474993118,1.7853151269999998,2e-05,0.95,0.2,0.452819161,0.362432419,0.41819588,0.321877455,0.469572053,0.262410863,0.434994809,0.24305657600000002,0.352373041,0.229477392,0.28940802600000004,0.21121393600000002,0.495949708,0.538957804,0.478580781,0.45267994799999994,0.493381842,0.41888361799999996,0.469799905,0.380559359,00:03:56,00:04:17
1,1.251242439,1.197853388,2.9999999999999997e-05,0.8,0.2,0.313826145,0.23277099699999998,0.29853908100000004,0.146781087,0.48104599,0.289765482,0.466864151,0.19724381100000002,0.22668023699999998,0.10825416,0.222060019,0.068740439,0.042357817,0.154797817,0.020691685,0.046324221,0.505220535,0.378266528,0.484540469,0.274815878,00:03:56,00:04:18
2,1.041353334,1.265754464,2.9999999999999997e-05,0.8,0.2,0.420736348,0.340296225,0.393213211,0.279344555,0.48045061299999997,0.33097249,0.465768355,0.296854792,0.396247631,0.302632181,0.35322297399999997,0.269363026,0.324913889,0.43105925100000003,0.281168042,0.28401474,0.481333257,0.296520978,0.472693472,0.26714566300000003,00:03:56,00:04:17
3,0.8165314779999999,1.3311236290000001,2.9999999999999997e-05,0.8,0.2,0.42696103799999996,0.343356923,0.404125843,0.283632612,0.5197395020000001,0.314580714,0.507743889,0.291184051,0.290170093,0.151759793,0.266264275,0.132149565,0.414992421,0.491935065,0.364124375,0.337768629,0.48294213799999997,0.415152119,0.478370831,0.37342820299999996,00:03:56,00:04:17
4,0.625344597,1.6265505269999998,2.9999999999999997e-05,0.8,0.2,0.44826357899999997,0.377315164,0.41865504,0.324273374,0.48008639799999997,0.368152007,0.457207783,0.335620517,0.375473376,0.244216128,0.32444641399999996,0.224116275,0.419965363,0.508542049,0.388662185,0.38139266899999996,0.517529178,0.38835047100000003,0.5043037779999999,0.35596403600000004,00:03:56,00:04:18
5,0.487501626,1.7533946059999999,2.9999999999999997e-05,0.8,0.2,0.43227897299999996,0.34648960799999995,0.413346823,0.311201187,0.449445735,0.31545142,0.43225475700000004,0.287615117,0.33945490799999994,0.21163707699999998,0.298573016,0.197191575,0.507538141,0.521059478,0.49841583100000003,0.452420641,0.432677107,0.337810457,0.42414368700000005,0.307577415,00:03:56,00:04:17
1,1.235820079,1.224141668,2.9999999999999997e-05,0.9,0.2,0.34954501600000004,0.260672949,0.329141705,0.17933436600000002,0.502632756,0.285076674,0.494089159,0.21703994899999998,0.212499575,0.13998091,0.206031319,0.09382716,0.198320721,0.267587525,0.146613039,0.140942323,0.48472701100000004,0.350046688,0.469833306,0.265528033,00:03:56,00:04:18
2,1.00950169,1.316545214,2.9999999999999997e-05,0.9,0.2,0.408240466,0.343053099,0.36908702200000004,0.290564387,0.464107713,0.24608494,0.428412929,0.21878453,0.31665119,0.232408193,0.25844091,0.199021442,0.390747635,0.48173339600000004,0.362970943,0.387012212,0.461455325,0.411985867,0.426523305,0.357439364,00:03:56,00:04:18
3,0.7665849920000001,1.3120920459999998,2.9999999999999997e-05,0.9,0.2,0.438156531,0.328953342,0.420028134,0.277981412,0.502044512,0.245230463,0.49448466,0.216970827,0.32319940199999997,0.21858313199999999,0.291708619,0.188360935,0.441657255,0.464871961,0.415926051,0.368613304,0.485724954,0.387127811,0.47799320700000003,0.337980581,00:03:56,00:04:17
4,0.558356925,1.7336405259999998,2.9999999999999997e-05,0.9,0.2,0.437562195,0.338471665,0.41283274,0.30765466,0.519397259,0.31555529,0.487024516,0.301803497,0.306363724,0.151444935,0.262712115,0.143070045,0.427027162,0.479985855,0.417657868,0.40399176700000006,0.497460634,0.40690058100000004,0.48393646,0.38175333,00:03:56,00:04:18
5,0.415585682,1.875817457,2.9999999999999997e-05,0.9,0.2,0.43269348,0.335133297,0.40552742299999994,0.305480651,0.496847087,0.331474067,0.46748833799999995,0.310505668,0.326406374,0.155181289,0.27249846699999997,0.145195455,0.43202063399999996,0.468610105,0.422544153,0.41217232600000003,0.475499825,0.385267725,0.459578735,0.354049155,00:03:56,00:04:17
1,1.245902547,1.235771827,2.9999999999999997e-05,0.95,0.2,0.342185429,0.29320556,0.32187681,0.218856784,0.424679956,0.20688272600000002,0.413719405,0.16789832100000002,0.321957855,0.342336153,0.294559833,0.268976692,0.14988447800000002,0.285309644,0.120349421,0.16238824599999999,0.472219427,0.338293719,0.458878578,0.276163877,00:03:54,00:04:16
